物质,LG浓度,DPPH清除率%均值
维生素C,-0.97469,16.737
维生素C,-1.27572,18.083
维生素C,-1.57675,8.665
维生素C,-1.87615,3.375
维生素C,-2.18046,1.632
维生素C,-2.48149,0.562
杨梅粉,-0.022,85.598
杨梅粉,-0.323,79.513
杨梅粉,-0.624,77.495
杨梅粉,-0.925,65.172
杨梅粉,-1.226,45.021
杨梅粉,-1.527,29.488
黑枸杞粉,0.009,3.161
黑枸杞粉,-0.292,22.333
黑枸杞粉,-0.593,16.829
黑枸杞粉,-0.894,13.924
黑枸杞粉,-1.196,10.836
黑枸杞粉,-1.497,9.276
余甘子提取物,0.021,86.118
余甘子提取物,-0.28,76.608
余甘子提取物,-0.581,79.849
余甘子提取物,-0.882,65.631
余甘子提取物,-1.183,43.064
余甘子提取物,-1.484,23.2196
蓝莓花青素,0.017,63.154
蓝莓花青素,-0.284,66.334
蓝莓花青素,-0.585,55.968
蓝莓花青素,-0.886,35.726
蓝莓花青素,-1.187,23.739
蓝莓花青素,-1.488,13.802
接骨木莓花青素,0.009,88.381
接骨木莓花青素,-0.292,70.737
接骨木莓花青素,-0.593,64.347
接骨木莓花青素,-0.894,42.789
接骨木莓花青素,-1.196,25.91
接骨木莓花青素,-1.497,12.67
桂花果提取物,0.017,18.969
桂花果提取物,-0.284,18.694
桂花果提取物,-0.585,9.49
桂花果提取物,-0.886,4.751
桂花果提取物,-1.187,5.699
桂花果提取物,-1.488,6.157
